model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95
fixed/reference,joint,removal,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,joint,reset,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,joint,shuffle,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,joint,swap,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,legato,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition1,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,7.130527527981749,3.441276847140278,9.590028044865281,1.2612107725601378,0.835703503431456,1.6319249377346399,0.7760804776628203,0.4704981097566323,1.0813414940974466,0.03243866768776535,1.9999999999999998e-05,0.09727600306329603,0.575849107025055,0.43167764787477475,0.731942857025055
fixed/transition1,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/transition1,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
fixed/transition1,joint,intact,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
fixed/transition1,joint,removal,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
fixed/transition1,joint,reset,0.25,0.0625,0.4375,0.0,0.0,0.0,4.808340277513686,2.2115266075952773,8.360277805320282,0.9917972534375,0.6562815424999999,1.3506411753125,1.1085180099410779,0.7951079792041355,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.45269187499999997,0.37464499999999995,0.6087856249999999
