model,cell,condition,bin,count,mean_confidence,accuracy
mixture/transition3,joint,swap,9,2,1.0,0.0
mixture/transition3,legato,intact,6,2,0.6498514578154555,1.0
mixture/transition3,legato,intact,8,8,0.8456449735615583,0.75
mixture/transition3,legato,intact,9,6,0.9572287404921482,0.6666666666666666
oracle-boundary/absolute,detached,intact,9,16,0.9990199999999999,1.0
oracle-boundary/absolute,duration,intact,9,16,0.9990199999999999,1.0
oracle-boundary/absolute,joint,ambiguous,4,16,0.49951999999999996,0.5
oracle-boundary/absolute,joint,intact,9,16,0.9990199999999999,1.0
oracle-boundary/absolute,joint,removal,3,16,0.37464499999999995,0.3125
oracle-boundary/absolute,joint,reset,3,16,0.37464499999999995,0.3125
oracle-boundary/absolute,joint,shuffle,9,16,0.9990199999999999,1.0
oracle-boundary/absolute,joint,swap,9,16,0.9990199999999999,1.0
oracle-boundary/absolute,legato,intact,9,16,0.9990199999999999,1.0
oracle-boundary/present,detached,intact,3,16,0.37464499999999995,0.3125
oracle-boundary/present,duration,intact,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,ambiguous,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,intact,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,removal,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,reset,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,shuffle,3,16,0.37464499999999995,0.3125
oracle-boundary/present,joint,swap,3,16,0.37464499999999995,0.3125
oracle-boundary/present,legato,intact,3,16,0.37464499999999995,0.3125
oracle-boundary/recency,detached,intact,9,16,0.951,0.5
oracle-boundary/recency,duration,intact,9,16,0.951,0.5
oracle-boundary/recency,joint,ambiguous,9,16,0.951,0.5
oracle-boundary/recency,joint,intact,9,16,0.951,0.5
oracle-boundary/recency,joint,removal,3,16,0.35724999999999996,0.3125
oracle-boundary/recency,joint,reset,3,16,0.35724999999999996,0.3125
oracle-boundary/recency,joint,shuffle,9,16,0.951,0.5
oracle-boundary/recency,joint,swap,9,16,0.951,0.5
oracle-boundary/recency,legato,intact,9,16,0.951,0.5
oracle-boundary/reference,detached,intact,9,16,0.9990199999999999,1.0
