stratum,group_id,length,family,query_n,group_n,max_pair_n,available_pair_n,queries_all_max_pairs_available,queries_with_tied_exact_absent_maxima,queries_any_alternate_reference_max,pairs_all_12_equal,queries_any_all_12_equal,queries_all_all_12_equal,pairs_only_cost_timing_differ,queries_any_only_cost_timing_differ,queries_all_only_cost_timing_differ,pairs_other_differences,queries_any_other_differences,queries_all_other_differences,pairs_unavailable,queries_any_unavailable,queries_all_unavailable,outcome_true_singleton,outcome_wrong_singleton,outcome_multiple_candidates,outcome_none,queries_any_ten_equal,queries_all_ten_equal,absent_false_accept_queries,true_vs_absent_max_score_near_queries,queries_with_extra_score_near_maxima,true_margin_min,true_margin_median,true_margin_max,absent_margin_min,absent_margin_median,absent_margin_max,true_minus_absent_max_min,true_minus_absent_max_median,true_minus_absent_max_max
group_id,e22,,,36,1,36,36,36,0,0,0,0,0,0,0,0,36,36,36,0,0,0,8,0,0,28,0,0,0,0,0,-2.17962115516619,-0.270285056505859,1.1367723002663563,-9.832414668069923,-5.165763362050823,-3.516709297196609,3.1591228794375716,6.302432978363276,7.652793512903732
group_id,e23,,,36,1,36,36,36,0,0,0,0,0,12,12,12,24,24,24,0,0,0,8,0,0,28,12,12,0,0,0,-1.895042690610337,-0.4135154407413264,0.7115440566763187,-7.33532143424206,-3.6944503506316617,-0.28848111515350716,0.000150328833218083,3.0557027896275732,5.774996053066323
length,,4,,144,4,200,200,144,18,48,66,15,15,58,58,58,76,71,71,0,0,0,32,0,0,112,73,73,0,16,13,-4.946186384594724,-0.38125932480148705,2.382312863856603,-8.712895235700543,-3.891906579072457,-0.1259876330312455,-2.102291603218907,0.0004977148359248673,7.479388488107336
length,,6,,144,4,144,144,144,0,0,1,1,1,14,14,14,129,129,129,0,0,0,68,0,0,76,15,15,0,1,6,-2.891920717814262,-0.20836762768925876,1.6693163903768156,-10.350452064130181,-4.671582972550695,-1.2761520000736937e-06,0.0,4.671502245829259,9.609636516644636
length,,8,,144,4,144,144,144,0,0,1,1,1,20,20,20,123,123,123,0,0,0,32,0,0,112,21,21,0,1,0,-2.179623835835672,-0.2702850971340638,1.1367723002663563,-9.832414668069923,-3.829669060048225,-0.11403922531689936,-3.220661918490464e-06,3.402905042470783,7.652793512903732
length,,10,,144,4,144,144,144,0,0,0,0,0,12,12,12,132,132,132,0,0,0,32,0,0,112,12,12,0,0,0,-1.8950427294213181,-0.41351562110091233,0.7115440566763187,-7.721588738161671,-5.284864935436913,-0.28848111515350716,0.000150328833218083,5.041563977554482,5.826546008740353
family,,,delete_closed,32,16,33,33,32,1,2,0,0,0,10,10,10,23,22,22,0,0,0,4,0,0,28,10,10,0,1,0,-0.2885657815061471,-0.12009699598513723,1.4525431701883917e-06,-6.940560125858886,-4.671463193267266,-1.2761520000736937e-06,-0.0001562257847353976,4.578501295231263,6.826508347189815
family,,,delete_detune,32,16,35,35,32,1,3,0,0,0,7,7,7,28,25,25,0,0,0,0,0,0,32,7,7,0,0,1,-4.946186384594724,-2.535769958428504,-1.8950425120282546,-9.832414668069923,-5.720502251808013,-1.8952272135739747,0.00018452296363768994,3.0537969950520907,7.652793512903732
family,,,delete_insert,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,0,0,0,32,10,10,0,0,1,-3.891833995821247,-2.262698168124957,-1.8041922071645526,-8.712895235700543,-5.651921826592853,-1.8043767301281886,0.00018452296363591358,3.7153820871426526,6.338949395674061
family,,,delete_rest,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,8,0,0,24,10,10,0,0,2,-0.2882967363487552,-0.11989753097011935,0.0002135100121058997,-6.94031480228314,-4.671301649160782,-0.00010373700123977869,0.00018452296363768994,4.57876739139348,6.826507373374147
family,,,delete_timing,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,8,0,0,24,10,10,0,0,1,-0.2883428671886499,-0.11994209996997096,0.0001346946804812177,-6.940382477770532,-4.671389152579163,-0.00018304877703023692,0.00019028930762665652,4.578748421722436,6.8265167352662015
family,,,delete_transpose,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,8,0,0,24,10,10,0,0,1,-0.2882967363487552,-0.11989753097011935,0.0002135100121058997,-6.94031480228314,-4.671301649160782,-0.00010116060443543518,0.00018437880475197232,4.578767382842951,6.826507373374147
family,,,delete_two,32,16,55,55,32,7,6,30,7,7,4,4,4,21,21,21,0,0,0,0,0,0,32,11,11,0,7,0,-2.5971884056580468,-1.5040148616364313,-1.2823601319013775,-7.996544008225608,-5.001172245827762,-0.4948968024391398,-2.102291603218907,3.6823250424916365,6.641209733454734
family,,,detune,32,16,32,32,32,0,2,0,0,0,0,0,0,32,32,32,0,0,0,0,0,0,32,0,0,0,0,2,-1.2328853156160537,-0.7376753700230179,-0.6708266418206019,-10.350452064130181,-5.130678124049724,-1.80437673019693,1.0698415734132656,4.143827665915045,9.609636516644636
family,,,exact,32,16,32,32,32,0,2,0,0,0,0,0,0,32,32,32,0,0,0,32,0,0,0,0,0,0,0,1,0.7115440566763187,1.403044345321586,2.382312863856603,-6.735319584243374,-3.891833995821247,-1.8043767301281886,2.5159207868045073,5.041563977554482,8.40463597462019
family,,,insert,32,16,33,33,32,1,1,0,0,0,0,0,0,33,32,32,0,0,0,0,0,0,32,0,0,0,0,0,-0.6671202453774203,-0.5915393320916262,-0.49210226811220714,-8.246428213461414,-5.386946168933346,-3.0588807803851603,2.39176053500774,4.793263784560107,7.7543259453492075
family,,,legitimate_rest,32,16,32,32,32,0,3,0,0,0,0,0,0,32,32,32,0,0,0,32,0,0,0,0,0,0,0,2,0.7114110501037114,1.4029151904103498,2.382184518224884,-6.735378104429636,-3.891906579072457,-1.8044760006527643,2.51588709680882,5.0415489987944255,8.404565200082736
family,,,mask_absent,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,0,0,0,32,10,10,0,0,2,-0.7514094438985524,-0.48249189751916255,-0.4167343638994332,-7.253025707716793,-5.056367303691036,-0.41705161091277887,0.00018452296363591358,4.57876739139348,6.826507373374145
family,,,mask_present,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,0,0,0,32,10,10,0,0,2,-0.7514094438985524,-0.48249189751916255,-0.4167343638994332,-7.253025707716793,-5.056367303691036,-0.41705161091277887,0.00018452296363591358,4.57876739139348,6.826507373374145
family,,,merged,32,16,60,60,32,8,8,38,10,10,4,4,4,18,18,18,0,0,0,0,0,0,32,14,14,0,10,0,-3.431084153481123,-2.1530328971958337,-1.560325381175737,-9.238292599153649,-3.431084153481123,-1.560519005972905,-3.220661918490464e-06,0.9042317335142611,7.5255744324586
family,,,substitute,32,16,32,32,32,0,3,0,0,0,9,9,9,23,23,23,0,0,0,0,0,0,32,9,9,0,0,1,-3.891833995821247,-2.262698168124957,-1.8041922071645526,-8.712394152404347,-5.775419338834354,-1.8043767301281886,0.00015553587538530422,3.281347556803447,6.338949395674061
family,,,timing,32,16,32,32,32,0,2,0,0,0,0,0,0,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0,0.7114997462070356,1.402979726024773,2.38223670534677,-6.735407087674714,-3.891888433456576,-1.80437673019693,2.5158764764039656,5.0415680733822565,8.404649627379438
family,,,transpose,32,16,32,32,32,0,2,0,0,0,0,0,0,32,32,32,0,0,0,32,0,0,0,0,0,0,0,1,0.7115440566763187,1.403044345321586,2.382312863856603,-6.735319584243374,-3.891833995821247,-1.804375576942979,2.5159196336192977,5.041563977554482,8.40463597462019
family,,,weak_present,32,16,32,32,32,0,2,0,0,0,10,10,10,22,22,22,0,0,0,8,0,0,24,10,10,0,0,2,-0.2882967363487552,-0.11989753097011935,0.0002135100121058997,-6.94031480228314,-4.671301649160782,-0.00010373700123977869,0.00018452296363768994,4.57876739139348,6.826507373374147
length+family,,4,delete_closed,8,4,9,9,8,1,2,0,0,0,6,6,6,3,2,2,0,0,0,0,0,0,8,6,6,0,1,0,-0.1261438588159809,-0.1261431689375314,-0.1261421320447944,-4.946706693919099,-0.12606522848385815,-0.1259876330312455,-0.0001562257847353976,-7.828539289800318e-05,4.8205645618743045
length+family,,4,delete_detune,8,4,11,11,8,1,3,0,0,0,4,4,4,7,4,4,0,0,0,0,0,0,8,4,4,0,0,1,-4.946186384594724,-4.946186255574054,-4.946186112227343,-7.6025723100055025,-4.94642708689238,-4.946425680363543,0.00023952550328232292,0.00024083848134637265,2.6563861977781595
length+family,,4,delete_insert,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,0,-3.891833995821247,-3.891833995821247,-3.891833995821247,-8.712895235700543,-3.8922037812398553,-3.8920750764213157,0.00024108060006877707,0.00036978541860843706,4.821061239879297
length+family,,4,delete_rest,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.1259876330312455,-0.1259876330312455,-0.1259876330312455,-4.947048872910541,-0.12635741844985304,-0.12622871363131338,0.0002410806000678889,0.0003697854186075489,4.821061239879295
