model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/reference,sp-25,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-25,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-25,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-25,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-25,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-25,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-25,transpose,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-25,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-25,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-25,timbre,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-25,timbre,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-26,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-26,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-26,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-26,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-26,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-26,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-26,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-26,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-26,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-26,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-26,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-26,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-26,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-26,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-26,transpose,intact,0.0,0.0,0.0,0.0,0.5,0.0,1.0
patch-multi/reference,sp-26,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-26,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-26,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-26,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-26,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-27,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-27,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-27,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-27,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-27,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-27,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-27,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-27,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-27,unchanged,shuffle,0.0,0.0,0.0,1.0,1.0,0.5,1.0
patch-multi/reference,sp-27,unchanged,shuffle,0.0,0.0,0.0,1.0,1.0,0.5,1.0
patch-multi/absolute,sp-27,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
