model,group,cell,condition,accuracy,log_loss,brier,entropy,unknown_mass,confidence,paired_success
oracle-boundary/transition2,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
oracle-boundary/transition3,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/absolute,sp-16,unchanged,swap,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/present,sp-16,unchanged,swap,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
a32_48/recency,sp-16,unchanged,swap,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
a32_48/reference,sp-16,unchanged,swap,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/transition1,sp-16,unchanged,swap,0.0,0.8877370538316647,0.6903920688130802,0.6864527680005322,1.9999999999999998e-05,0.5861097021441021,0.0
a32_48/transition2,sp-16,unchanged,swap,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48/transition3,sp-16,unchanged,swap,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999,1.0
a32_48_mixture/absolute,sp-16,unchanged,swap,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/present,sp-16,unchanged,swap,0.0,3.1432300693643693,1.379247297260981,1.0816710499822757,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/recency,sp-16,unchanged,swap,0.0,6.214727477663419,1.5223557946995545,0.7975457052885849,0.654568125750797,0.654568125750797,0.0
a32_48_mixture/reference,sp-16,unchanged,swap,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition1,sp-16,unchanged,swap,0.0,1.9771981655336228,1.2128414524767255,0.8784325049760804,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition2,sp-16,unchanged,swap,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
a32_48_mixture/transition3,sp-16,unchanged,swap,0.0,1.1050457691459121,0.875707529625728,0.7122268558938756,0.654229263651934,0.654229263651934,0.0
b2/absolute,sp-16,unchanged,swap,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/present,sp-16,unchanged,swap,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/recency,sp-16,unchanged,swap,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
b2/reference,sp-16,unchanged,swap,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
