model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
patch-multi/transition1,sp-16,unchanged,reset,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
patch-multi/transition2,sp-16,unchanged,reset,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
patch-multi/transition3,sp-16,unchanged,reset,0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
oracle-boundary/absolute,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/present,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,sp-16,unchanged,reset,0,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996
oracle-boundary/reference,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/transition1,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/transition2,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/transition3,sp-16,unchanged,reset,0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/absolute,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/present,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/recency,sp-16,unchanged,reset,1,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996
a32_48/reference,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/transition1,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/transition2,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48/transition3,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
a32_48_mixture/absolute,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
a32_48_mixture/present,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
a32_48_mixture/recency,sp-16,unchanged,reset,1,0.0,2.487123484724752,1.064461653875072,1.694889540244812,0.30634110312687846,0.30634110312687846
a32_48_mixture/reference,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
a32_48_mixture/transition1,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
a32_48_mixture/transition2,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
a32_48_mixture/transition3,sp-16,unchanged,reset,1,0.0,2.4450563367111684,1.0703685347279257,1.4939321038968127,0.30566063694175766,0.30566063694175766
b2/absolute,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/present,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/recency,sp-16,unchanged,reset,1,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996
b2/reference,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition1,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition2,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
b2/transition3,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/absolute,sp-16,unchanged,reset,1,0.0,+Infinity,2.0,-0.0,1.0,1.0
f32/present,sp-16,unchanged,reset,1,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
f32/recency,sp-16,unchanged,reset,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
