front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,civ-09,duration,intact,1,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02949882500677396,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602524081372017,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.1
fixed,civ-09,joint,intact,0,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02931707471132731,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602553566123715,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.104
fixed,civ-09,joint,intact,1,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02949882500677396,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.6666666666666666,1.0,4.071960681383726,0.3333333333333333,0.0065,0.008416666666666668,0.0925,0.084
fixed,civ-09,joint,reset,0,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,1.0,1.0,0.027481386922065216,0.0,0.015166666666666667,0.026249999999999996,-0.01175,0.0
oracle-boundary,civ-09,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002800054030167587,0.0,0.0,0.0,0.05225,0.05225
streaming,civ-09,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.6666666666666666,1.0,4.071960681383726,0.3333333333333333,0.0065,0.008416666666666668,0.0925,0.084
fixed,civ-09,joint,reset,1,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,1.0,1.0,0.027481386922065216,0.0,0.015166666666666667,0.026249999999999996,-0.01175,0.0
oracle-boundary,civ-09,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002800054030167587,0.0,0.0,0.0,0.05225,0.05225
streaming,civ-09,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,1.0,6.957030344769677,0.2222222222222222,0.007527777777777778,0.010263888888888888,0.0994375,0.088
fixed,civ-09,joint,removal,0,9,11,7,0,0.0,0.0,0.0,2,0,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778,0.037016556878971256,0.0,0.014910714285714288,0.02555357142857143,-0.01,0.0
oracle-boundary,civ-09,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002645693551958712,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.5555555555555556,1.0,6.957030344769677,0.2222222222222222,0.007527777777777778,0.010263888888888888,0.0994375,0.088
fixed,civ-09,joint,removal,1,9,11,7,0,0.0,0.0,0.0,2,0,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778,0.037016556878971256,0.0,0.014910714285714288,0.02555357142857143,-0.01,0.0
oracle-boundary,civ-09,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002645693551958712,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602553566123715,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.104
fixed,civ-09,joint,swap,0,11,13,9,1,0.07692307692307693,0.09090909090909091,0.08333333333333333,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02949882500677396,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602524081372017,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.1
fixed,civ-09,joint,swap,1,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02931707471132731,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.600046906292144,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.104
fixed,civ-09,joint,shuffle,0,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,4,2,0.36363636363636365,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.031002700116395252,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.600131361536912,0.18181818181818182,0.008545454545454547,0.01075,0.112625,0.1
fixed,civ-09,joint,shuffle,1,11,15,9,1,0.06666666666666667,0.09090909090909091,0.07692307692307693,5,2,0.45454545454545453,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.030820949820948604,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,1.0,7.238052307005984,0.2727272727272727,0.00781818181818182,0.010022727272727273,0.112625,0.1
fixed,civ-09,joint,ambiguous,0,11,15,9,1,0.06666666666666667,0.09090909090909091,0.07692307692307693,5,2,0.45454545454545453,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.029347935082911114,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034477820453043313,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,1.0,7.238052307005984,0.2727272727272727,0.00781818181818182,0.010022727272727273,0.112625,0.1
fixed,civ-09,joint,ambiguous,1,11,15,9,1,0.06666666666666667,0.09090909090909091,0.07692307692307693,5,2,0.45454545454545453,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.029347935082911114,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034477820453043313,0.0,0.0,0.0,0.054,0.054
streaming,civ-10,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.035548903575724496,0.0,0.005522727272727273,0.0037784090909090905,0.0820625,0.08
fixed,civ-10,detached,intact,0,11,14,8,4,0.2857142857142857,0.36363636363636365,0.32,4,2,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.004713030307518018,0.0,0.0164375,0.016,0.007375,0.0
oracle-boundary,civ-10,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004179947106104203,0.0,0.0,0.0,0.0516875,0.0516875
streaming,civ-10,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.045395791894862245,0.0,0.005886363636363637,0.0040852272727272725,0.0820625,0.076
fixed,civ-10,detached,intact,1,11,16,8,4,0.25,0.36363636363636365,0.2962962962962963,7,3,0.6363636363636364,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.0016204702052755593,0.0,0.0164375,0.016,0.007375,0.0
oracle-boundary,civ-10,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004179947106104203,0.0,0.0,0.0,0.0516875,0.0516875
streaming,civ-10,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,0.16838159627939592,0.0,0.010250000000000002,0.010573863636363636,0.1156875,0.104
fixed,civ-10,legato,intact,0,11,15,8,4,0.26666666666666666,0.36363636363636365,0.3076923076923077,4,2,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.009528519170702632,0.0,0.0164375,0.016,0.007375,0.0
oracle-boundary,civ-10,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00033639552002204,0.0,0.0,0.0,0.0516875,0.0516875
streaming,civ-10,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.1681579225357499,0.0,0.010250000000000002,0.010573863636363636,0.1134375,0.104
fixed,civ-10,legato,intact,1,11,15,8,4,0.26666666666666666,0.36363636363636365,0.3076923076923077,4,2,0.36363636363636365,0.18181818181818182,0.7272727272727273,0.7272727272727273,0.008572541215115637,0.0,0.0164375,0.016,0.007375,0.0
oracle-boundary,civ-10,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00033639552002204,0.0,0.0,0.0,0.0516875,0.0516875
streaming,civ-10,duration,intact,0,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,0.9090909090909091,1.0,0.11432845098546177,0.0,0.007096590909090908,0.00815909090909091,0.111875,0.1
fixed,civ-10,duration,intact,0,11,16,8,1,0.0625,0.09090909090909091,0.07407407407407407,7,3,0.6363636363636364,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.04186134517303808,0.0,0.0178828125,0.0208828125,-0.00025,0.0
oracle-boundary,civ-10,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034809390691218056,0.0,0.0,0.0,0.06375,0.06375
streaming,civ-10,duration,intact,1,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,0.9090909090909091,1.0,0.11385782783528792,0.0,0.00709659090909091,0.00815909090909091,0.111875,0.104
