front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
fixed,ewr-09,joint,reset,1,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,0.6666666666666666,1.0,6.326580862744251,0.0,0.015166666666666667,0.026249999999999996,-0.01175,0.0
oracle-boundary,ewr-09,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003320242782383076,0.0,0.0,0.0,0.05225,0.05225
repaired,ewr-09,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021593253928238929,0.0,0.009305555555555556,0.012486111111111111,0.0994375,0.088
streaming,ewr-09,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,1.0,8.839948410283048,0.5555555555555556,0.009305555555555556,0.012486111111111111,0.0994375,0.088
fixed,ewr-09,joint,removal,0,9,12,7,0,0.0,0.0,0.0,4,1,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.7777777777777778,5.423995429661531,0.0,0.014910714285714288,0.02555357142857143,-0.01,0.0
oracle-boundary,ewr-09,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00035620454100400895,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00021593253928238929,0.0,0.009305555555555556,0.012486111111111111,0.0994375,0.088
streaming,ewr-09,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,1.0,8.839948410283048,0.5555555555555556,0.009305555555555556,0.012486111111111111,0.0994375,0.088
fixed,ewr-09,joint,removal,1,9,12,7,0,0.0,0.0,0.0,4,1,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.7777777777777778,5.423995429661531,0.0,0.014910714285714288,0.02555357142857143,-0.01,0.0
oracle-boundary,ewr-09,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00035620454100400895,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002765372266926101,0.0,0.009636363636363636,0.012204545454545456,0.112625,0.104
