query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e16_query_a_delete_two,e16_distractor_5,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.1642105263222669,8.540674209594727,0.0,-1.3877787807814457e-17,0.0,0.0
e16_query_a_delete_two,e16_distractor_5,0,True,maximum_candidate,1,3,1,0.628000020980835,0.7210000157356262,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.32887449980375133,6.540684700012207,0.0,1.3877787807814457e-17,0.0,-0.33000001311302185
e16_query_a_delete_two,e16_distractor_5,1,False,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,9.54076099395752,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.17936169850034558,9.040717601776123,-0.5000433921813965,0.0,-1.000086784362793,-0.16499999165534973
e16_query_a_delete_two,e16_distractor_5,1,False,maximum_candidate,1,3,1,0.628000020980835,0.7210000157356262,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3443586654858069,6.0406413078308105,0.5000433921813965,0.0,0.0,-0.33000001311302185
e16_query_a_delete_two,e16_reference_a,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.0,0.0,0.0,0.0
e16_query_a_delete_two,e16_reference_a,0,True,true_source,1,1,1,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.0,0.0,0.0,0.0
e16_query_a_delete_two,e16_reference_a,1,False,true_source,0,2,0,0.46399998664855957,0.5559999942779541,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22544242579746554,8.540623188018799,5.1021575927734375e-05,0.0,-2.999974250793457,-0.32999998331069946
e16_query_a_delete_two,e16_reference_a,1,False,true_source,1,3,1,0.6290000081062317,0.7200000286102295,9.54076099395752,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.38844850383185725,6.540735721588135,-5.1021575927734375e-05,0.0,-3.0000762939453125,-0.3310000002384186
e16_query_a_delete_two,e16_reference_b,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.39100000262260437,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.17972121869674834,8.540623188018799,5.1021575927734375e-05,-1.3877787807814457e-17,-2.999974250793457,-0.16499999165534973
e16_query_a_delete_two,e16_reference_b,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,9.54076099395752,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.34322425993403993,6.540735721588135,-5.1021575927734375e-05,1.3877787807814457e-17,-3.0000762939453125,-0.3310000002384186
