model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
oracle-boundary/reference,cea-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/transition1,cea-16,detached,intact,0,1.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
oracle-boundary/transition3,cea-16,detached,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/absolute,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
map/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
map/transition1,cea-16,detached,intact,1,1.0,0.6780168060147239,0.4839263696412217,0.7036968457424057,1.9999999999999998e-05,0.5076227090737224
map/transition2,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
map/transition3,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
mixture/absolute,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
mixture/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
mixture/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
mixture/reference,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
mixture/transition1,cea-16,detached,intact,1,1.0,0.6780168060147239,0.4839263696412217,0.7036968457424057,1.9999999999999998e-05,0.5076227090737224
mixture/transition2,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
mixture/transition3,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
repaired/absolute,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
repaired/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
repaired/transition1,cea-16,detached,intact,1,1.0,0.47256677044073414,0.28293285636187915,0.6727833100615503,1.9999999999999998e-05,0.623400088029177
repaired/transition2,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
repaired/transition3,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
streaming/absolute,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
streaming/present,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-16,detached,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
streaming/reference,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
streaming/transition1,cea-16,detached,intact,1,1.0,0.34718986449437966,0.1715213852017845,0.6152734504610458,2e-05,0.7066711437603139
streaming/transition2,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
streaming/transition3,cea-16,detached,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
fixed/absolute,cea-16,detached,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
