front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
oracle-boundary,cea-34,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00027618941243408426,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-35,detached,intact,0,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.0033950809350180577,0.0,0.007221590909090908,0.006642045454545455,0.097875,0.092
mixture,cea-35,detached,intact,0,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.0033950809350180577,0.0,0.007221590909090908,0.006642045454545455,0.097875,0.092
repaired,cea-35,detached,intact,0,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.003535659570177914,0.0,0.007221590909090908,0.006642045454545455,0.097875,0.092
streaming,cea-35,detached,intact,0,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.07914470527493833,0.0,0.007221590909090908,0.006642045454545455,0.097875,0.092
fixed,cea-35,detached,intact,0,11,19,11,0,0.0,0.0,0.0,11,3,1.0,0.2727272727272727,0.8181818181818182,1.0,1.1847336880963562,0.09090909090909091,0.02300568181818182,0.016710227272727276,0.0108125,0.0
oracle-boundary,cea-35,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004396745340587477,0.0,0.0,0.0,0.061875,0.061875
map,cea-35,detached,intact,1,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.0034387799121049704,0.0,0.007221590909090908,0.007176136363636365,0.097875,0.092
mixture,cea-35,detached,intact,1,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.0034387799121049704,0.0,0.007221590909090908,0.007176136363636365,0.097875,0.092
repaired,cea-35,detached,intact,1,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.003362628927469302,0.0,0.007221590909090908,0.007176136363636365,0.097875,0.092
streaming,cea-35,detached,intact,1,11,12,11,11,0.9166666666666666,1.0,0.9565217391304348,0,0,0.0,0.0,1.0,1.0,0.08181280565887471,0.0,0.007221590909090908,0.007176136363636365,0.097875,0.092
fixed,cea-35,detached,intact,1,11,19,11,0,0.0,0.0,0.0,11,3,1.0,0.2727272727272727,0.8181818181818182,1.0,1.1819249876871498,0.09090909090909091,0.02300568181818182,0.016710227272727276,0.0108125,0.0
oracle-boundary,cea-35,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004396745340587477,0.0,0.0,0.0,0.061875,0.061875
map,cea-35,legato,intact,0,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.0026572839480152118,0.0,0.010130681818181818,0.008232954545454545,0.097875,0.084
mixture,cea-35,legato,intact,0,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.0026572839480152118,0.0,0.010130681818181818,0.008232954545454545,0.097875,0.084
repaired,cea-35,legato,intact,0,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.002877669215958889,0.0,0.010130681818181818,0.008232954545454545,0.097875,0.084
streaming,cea-35,legato,intact,0,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,0.9090909090909091,1.0,1.1388165537196207,0.09090909090909091,0.010130681818181818,0.008232954545454545,0.097875,0.084
fixed,cea-35,legato,intact,0,11,18,10,0,0.0,0.0,0.0,10,3,0.9090909090909091,0.2727272727272727,0.7272727272727273,0.9090909090909091,3.1444136147474424,0.09090909090909091,0.021212500000000002,0.017300000000000003,0.009875,0.0
oracle-boundary,cea-35,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0027370831284598426,0.0,0.0,0.0,0.061875,0.061875
map,cea-35,legato,intact,1,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.0027340047509864266,0.0,0.010130681818181818,0.008596590909090908,0.097875,0.084
mixture,cea-35,legato,intact,1,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.0027340047509864266,0.0,0.010130681818181818,0.008596590909090908,0.097875,0.084
repaired,cea-35,legato,intact,1,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,1.0,1.0,0.0029033746510798153,0.0,0.010130681818181818,0.008596590909090908,0.097875,0.084
streaming,cea-35,legato,intact,1,11,14,11,11,0.7857142857142857,1.0,0.88,0,0,0.0,0.0,0.9090909090909091,1.0,1.138785011644339,0.09090909090909091,0.010130681818181818,0.008596590909090908,0.097875,0.084
fixed,cea-35,legato,intact,1,11,18,10,0,0.0,0.0,0.0,10,3,0.9090909090909091,0.2727272727272727,0.8181818181818182,0.9090909090909091,1.2713154059599536,0.09090909090909091,0.021212500000000002,0.017300000000000003,0.009875,0.0
oracle-boundary,cea-35,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0027370831284598426,0.0,0.0,0.0,0.061875,0.061875
map,cea-35,duration,intact,0,11,15,11,11,0.7333333333333333,1.0,0.8461538461538461,0,0,0.0,0.0,1.0,1.0,0.0028636273195604385,0.0,0.009954545454545454,0.00853409090909091,0.102875,0.088
mixture,cea-35,duration,intact,0,11,15,11,11,0.7333333333333333,1.0,0.8461538461538461,0,0,0.0,0.0,1.0,1.0,0.0028636273195604385,0.0,0.009954545454545454,0.00853409090909091,0.102875,0.088
