split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
held_out,4,mask_absent,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,unreliable_query_fraction,0.25,-0.5439515199490366,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,cost,0.175,0.004360197683370138,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,reference_coverage,0.75,0.748986519339778,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,missing_fraction,0.25,0.7489865193397823,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,unreliable_query_fraction,0.25,-0.5439515199490366,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,2.8750036763380065
held_out,4,mask_present,8,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,2.8750036763380065
held_out,4,merged,8,cost,0.35,0.003749292797332714,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,matched_log,1.0986122886681098,-0.4957903034393071,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,reference_coverage,0.5,-0.5689948890165639,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,missing_fraction,0.5,-0.5689948890165688,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,unreliable_query_fraction,0.33333333333333337,-0.7524254569048057,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,0.19532896675543565
held_out,4,merged,8,query_log,1.0986122886681098,1.3537238655284016,-7.356364000313694,0.19532896675543565
held_out,4,substitute,8,cost,0.35,0.003749292797332714,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,reference_coverage,0.75,0.748986519339778,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,query_coverage,0.75,0.5719918975343788,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,missing_fraction,0.25,0.7489865193397823,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,inserted_fraction,0.25,0.5719918975343744,-7.356364000313694,-0.2654208755846872
